ticker,name,si_pct,float_m,days_to_cover,borrow_fee_pct,shares_avail_k
GRPN,Groupon,58.91,19.89,,1.55,400
HTZ,Hertz Global,55.85,169.11,,,
SPCE,Virgin Galactic,41.21,100.13,,,
BATL,Battalion Oil,39.82,9.18,,,
WGS,GeneDx Holdings,39.75,16.94,,,
NEGG,Newegg Commerce,39.29,0.8,,,
SOUN,SoundHound AI,38.35,393.21,,,
LCID,Lucid Group,37.3,172.28,,,
FLWS,1-800-FLOWERS.COM,37.22,10.38,,1.01,650
AI,C3.ai,37.06,139.06,,,
WYFI,WhiteFiber,35.59,11.19,,,
FLNC,Fluence Energy,34.44,100.31,,,
EVGO,EVgo,34.34,133.19,,,
RXRX,Recursion Pharma,34.1,513.01,,,
PCT,PureCycle Tech,33.8,145.24,,,
PLCE,Children's Place,33.73,7.77,,,
SLS,SELLAS Life Sciences,33.23,185.28,,188.75,25
INDI,indie Semiconductor,33.05,208.21,,,
SERV,Serve Robotics,32.81,70.85,,,
UPST,Upstart Holdings,31.36,82.19,,,
SPRY,ARS Pharmaceuticals,30.94,68.43,,,
KRUS,Kura Sushi USA,30.76,6.97,,,
XRX,Xerox,30.67,119.09,,,
HIMS,Hims & Hers Health,30.44,210.59,,,
XPOF,Xponential Fitness,30.35,26.16,,,
SRPT,Sarepta Therapeutics,30.35,94.61,,,
RUN,Sunrun,30.17,219.96,,,
BBAI,BigBear.ai,30.12,474.71,,,
CRML,Critical Metals,29.68,68.16,,,
SPHR,Sphere Entertainment,29.4,24.65,,,
MARA,MARA Holdings,29.15,373.04,,,
VSTM,Verastem,29.02,70.38,,,
MPT,Medical Properties Trust,28.92,490.65,,,
RXT,Rackspace Technology,28.45,104.73,,,
EOSE,Eos Energy,28.15,333.09,,,
NVAX,Novavax,27.82,141.47,,,
KSS,Kohl's,27.66,111.62,,,
WRLD,World Acceptance,27.51,2.17,,,
TTEC,TTEC Holdings,27.44,19.76,,,
ENVX,Enovix,27.0,188.35,,,
BETR,Better Home & Finance,26.73,8.57,,,
ACHC,Acadia Healthcare,26.64,85.14,,,
STOK,Stoke Therapeutics,26.21,46.77,,,
BEAM,Beam Therapeutics,25.96,87.94,,,
WULF,TeraWulf,25.8,382.06,,,
MNPR,Monopar Therapeutics,25.74,4.12,,,
FRMM,Forum Markets,25.73,11.2,,,
PLUG,Plug Power,25.66,1330.0,,,
CRVS,Corvus Pharmaceuticals,25.42,74.76,,,
CADL,Candel Therapeutics,25.04,56.81,,,
IOVA,Iovance Biotherapeutics,24.95,387.93,,,
ABEO,Abeona Therapeutics,24.93,36.62,,,
HRTX,Heron Therapeutics,24.71,135.44,,,
BYND,Beyond Meat,24.71,499.35,,,
NFE,New Fortress Energy,24.17,153.34,,,
ABCL,AbCellera Biologics,24.14,205.09,,,
ALT,Altimmune,23.84,164.2,,,
TMDX,TransMedics Group,23.82,33.43,,,
ABSI,Absci,23.75,148.72,,,
UAMY,US Antimony,23.67,130.28,,,
OMER,Omeros,23.62,69.8,,,
ECHO,EchoStar,23.62,136.85,,,
TGTX,TG Therapeutics,22.97,135.1,,,
ASPI,ASP Isotopes,22.7,108.99,,,
CORZ,Core Scientific,22.56,255.5,,,
FUN,Six Flags Entertainment,22.5,85.51,,,
NUTX,Nutex Health,22.11,4.62,,,
BMEA,Biomea Fusion,21.63,67.44,,,
ORIC,ORIC Pharmaceuticals,21.53,82.72,,,
RZLT,Rezolute,21.5,66.01,,,
SANA,Sana Biotechnology,21.43,177.72,,,
ROOT,Root Inc,21.33,9.65,,,
STIM,Neuronetics,21.29,28.29,,,
PGY,Pagaya Technologies,21.2,67.19,,,
PDYN,Palladyne AI,21.1,29.76,,,
VKTX,Viking Therapeutics,21.09,113.28,,,
ORGO,Organogenesis,21.05,57.38,,,
BKSY,BlackSky Technology,20.72,31.59,,,
RCKT,Rocket Pharmaceuticals,20.62,86.94,,,
DJCO,Daily Journal,20.27,0.93,,,
QCLS,Q/C Technologies,20.03,7.78,,,
TTD,The Trade Desk,20.0,418.03,,,
GME,GameStop,,,,,
AMC,AMC Entertainment,,,,,
WEN,Wendys,,,,,
BB,BlackBerry,,,,,
KOSS,Koss,,,,,
